 ,Mean,STD,Final test accuracy
Feature 0:
 ,73.7,3.1,78.0
Feature 1:
 ,73.7,2.968164415931166,73.0
Feature 2:
 ,73.7,3.579106033634656,73.0
Feature 3:
 ,73.7,5.1,78.0
Feature 4:
 ,73.7,4.648655719667784,72.0
Feature 5:
 ,73.7,3.6891733491393435,71.0
Feature 6:
 ,73.7,3.348133808556641,72.0
Feature 7:
 ,73.7,4.313930922024599,68.0
Feature 8:
 ,73.7,4.026164427839479,70.0
Feature 9:
 ,73.7,3.3778691508109073,76.0
All features:
 ,72.6,1.6852299546352716,71.0
All except 0:
 ,73.7,2.968164415931166,72.0
All except 1:
 ,73.7,4.148493702538308,77.0
All except 2:
 ,73.7,5.273518749374084,85.0
All except 3:
 ,73.7,4.001249804748511,73.0
All except 4:
 ,73.7,3.579106033634656,68.0
All except 5:
 ,73.7,6.356886030125129,82.0
All except 6:
 ,73.7,6.165225056719341,63.0
All except 7:
 ,73.7,4.8999999999999995,71.0
All except 8:
 ,73.7,4.243819034784589,74.0
All except 9:
 ,73.7,4.196427051671457,76.0
